Hora,Packet loss (%),Round trip (ms)
2011-03-26T03:06:20+00:00,10.0,50.427
2011-03-26T03:07:20+00:00,0.0,49.242
2011-03-26T03:08:20+00:00,0.0,50.317
2011-03-26T03:09:20+00:00,0.0,51.419
2011-03-26T03:10:20+00:00,0.0,50.004
2011-03-26T03:11:19+00:00,0.0,49.895
2011-03-26T03:12:19+00:00,0.0,49.907
2011-03-26T03:13:20+00:00,0.0,50.899
2011-03-26T03:14:20+00:00,0.0,50.949
2011-03-26T03:15:20+00:00,0.0,51.228
2011-03-26T03:16:20+00:00,0.0,51.754
2011-03-26T03:17:20+00:00,0.0,51.986
2011-03-26T03:18:19+00:00,0.0,51.03
2011-03-26T03:19:20+00:00,0.0,51.987
2011-03-26T03:20:20+00:00,0.0,51.684
2011-03-26T03:21:20+00:00,0.0,49.64
2011-03-26T03:22:19+00:00,0.0,51.201
2011-03-26T03:23:20+00:00,0.0,51.312
2011-03-26T03:24:19+00:00,0.0,50.658
2011-03-26T03:25:20+00:00,0.0,50.812
2011-03-26T03:26:20+00:00,0.0,50.533
2011-03-26T03:27:20+00:00,0.0,50.357
2011-03-26T03:28:19+00:00,0.0,49.979
2011-03-26T03:29:20+00:00,0.0,50.807
2011-03-26T03:30:20+00:00,0.0,50.228
2011-03-26T03:31:20+00:00,0.0,50.534
2011-03-26T03:32:20+00:00,0.0,51.461
2011-03-26T03:33:24+00:00,0.0,51.788
2011-03-26T03:34:20+00:00,0.0,51.586
2011-03-26T03:35:20+00:00,0.0,49.915
2011-03-26T03:36:19+00:00,0.0,51.347
2011-03-26T03:37:19+00:00,0.0,49.632
2011-03-26T03:38:19+00:00,0.0,50.67
2011-03-26T03:39:20+00:00,0.0,51.257
2011-03-26T03:40:20+00:00,0.0,50.867
2011-03-26T03:41:20+00:00,0.0,50.422
2011-03-26T03:42:19+00:00,0.0,51.082
2011-03-26T03:43:19+00:00,0.0,51.455
2011-03-26T03:44:20+00:00,0.0,50.626
2011-03-26T03:45:20+00:00,0.0,50.949
2011-03-26T03:46:20+00:00,0.0,49.944
2011-03-26T03:47:20+00:00,0.0,50.6
2011-03-26T03:48:19+00:00,0.0,51.137
2011-03-26T03:49:20+00:00,0.0,51.493
2011-03-26T03:50:20+00:00,0.0,51.353
2011-03-26T03:51:20+00:00,0.0,51.918
2011-03-26T03:52:20+00:00,0.0,51.592
2011-03-26T03:53:19+00:00,0.0,51.06
2011-03-26T03:54:19+00:00,0.0,50.612
2011-03-26T03:55:20+00:00,0.0,51.762
2011-03-26T03:56:20+00:00,0.0,50.337
2011-03-26T03:57:20+00:00,0.0,49.878
2011-03-26T03:58:20+00:00,0.0,51.66
2011-03-26T03:59:19+00:00,0.0,51.325
2011-03-26T04:00:19+00:00,0.0,50.202
2011-03-26T04:01:20+00:00,0.0,51.113
2011-03-26T04:02:20+00:00,0.0,51.715
2011-03-26T04:03:20+00:00,0.0,50.692
2011-03-26T04:04:19+00:00,0.0,50.456
2011-03-26T04:05:20+00:00,0.0,51.832
2011-03-26T04:06:19+00:00,0.0,50.419
2011-03-26T04:07:20+00:00,0.0,50.278
2011-03-26T04:08:20+00:00,0.0,51.253
2011-03-26T04:09:20+00:00,0.0,51.286
2011-03-26T04:10:19+00:00,0.0,50.85
2011-03-26T04:11:20+00:00,0.0,51.022
2011-03-26T04:12:20+00:00,0.0,51.38
2011-03-26T04:13:20+00:00,0.0,50.649
2011-03-26T04:14:20+00:00,0.0,51.801
2011-03-26T04:15:19+00:00,0.0,50.379
2011-03-26T04:16:19+00:00,0.0,51.516
2011-03-26T04:17:20+00:00,0.0,51.459
2011-03-26T04:18:20+00:00,0.0,51.46
2011-03-26T04:19:20+00:00,0.0,51.151
2011-03-26T04:20:21+00:00,10.0,49.733
2011-03-26T04:21:19+00:00,0.0,51.318
2011-03-26T04:22:19+00:00,0.0,51.044
2011-03-26T04:23:20+00:00,0.0,50.882
2011-03-26T04:24:20+00:00,0.0,50.631
2011-03-26T04:25:20+00:00,0.0,50.659
2011-03-26T04:26:20+00:00,0.0,50.654
2011-03-26T04:27:19+00:00,0.0,51.904
2011-03-26T04:28:19+00:00,0.0,51.071
2011-03-26T04:29:20+00:00,0.0,50.274
2011-03-26T04:30:24+00:00,0.0,50.592
2011-03-26T04:31:20+00:00,0.0,50.443
2011-03-26T04:32:20+00:00,0.0,51.009
2011-03-26T04:33:20+00:00,0.0,50.892
2011-03-26T04:34:20+00:00,0.0,50.72
2011-03-26T04:35:20+00:00,0.0,50.971
2011-03-26T04:36:19+00:00,0.0,48.821
2011-03-26T04:37:20+00:00,0.0,51.514
2011-03-26T04:38:20+00:00,0.0,49.936
2011-03-26T04:39:20+00:00,0.0,51.412
2011-03-26T04:40:19+00:00,0.0,51.668
2011-03-26T04:41:20+00:00,0.0,51.004
2011-03-26T04:42:19+00:00,0.0,51.712
2011-03-26T04:43:20+00:00,0.0,51.362
2011-03-26T04:44:20+00:00,0.0,50.848
2011-03-26T04:45:20+00:00,0.0,51.1
2011-03-26T04:46:19+00:00,0.0,51.023
2011-03-26T04:47:20+00:00,0.0,50.106
2011-03-26T04:48:20+00:00,0.0,49.546
2011-03-26T04:49:20+00:00,0.0,50.589
2011-03-26T04:50:20+00:00,0.0,51.61
2011-03-26T04:51:20+00:00,0.0,50.575
2011-03-26T04:52:19+00:00,0.0,51.421
2011-03-26T04:53:20+00:00,0.0,57.019
2011-03-26T04:54:20+00:00,0.0,50.851
2011-03-26T04:55:21+00:00,10.0,54.86
2011-03-26T04:56:20+00:00,0.0,63.868
2011-03-26T04:57:20+00:00,0.0,60.733
2011-03-26T04:58:19+00:00,0.0,60.355
2011-03-26T04:59:20+00:00,0.0,60.286
2011-03-26T05:00:20+00:00,0.0,60.415
2011-03-26T05:01:20+00:00,0.0,60.546
2011-03-26T05:02:20+00:00,0.0,60.456
2011-03-26T05:03:19+00:00,0.0,60.259
2011-03-26T05:04:19+00:00,0.0,60.4
2011-03-26T05:05:20+00:00,0.0,60.382
2011-03-26T05:06:21+00:00,10.0,60.559
2011-03-26T05:07:20+00:00,0.0,60.446
2011-03-26T05:08:19+00:00,0.0,60.397
2011-03-26T05:09:20+00:00,0.0,60.501
2011-03-26T05:10:20+00:00,0.0,60.648
2011-03-26T05:11:20+00:00,0.0,60.667
2011-03-26T05:12:20+00:00,0.0,60.634
2011-03-26T05:13:20+00:00,0.0,60.825
2011-03-26T05:14:19+00:00,0.0,60.671
2011-03-26T05:15:19+00:00,0.0,60.663
2011-03-26T05:16:20+00:00,0.0,60.629
2011-03-26T05:17:20+00:00,0.0,60.574
2011-03-26T05:18:21+00:00,10.0,60.698
2011-03-26T05:19:21+00:00,10.0,60.506
2011-03-26T05:20:19+00:00,0.0,60.629
2011-03-26T05:21:20+00:00,0.0,60.692
2011-03-26T05:22:24+00:00,0.0,60.535
2011-03-26T05:23:20+00:00,0.0,60.544
2011-03-26T05:24:20+00:00,0.0,60.483
2011-03-26T05:25:20+00:00,0.0,60.652
2011-03-26T05:26:20+00:00,0.0,60.54
2011-03-26T05:27:20+00:00,0.0,60.661
2011-03-26T05:28:19+00:00,0.0,60.73
2011-03-26T05:29:20+00:00,0.0,60.528
2011-03-26T05:30:20+00:00,0.0,60.683
2011-03-26T05:31:24+00:00,0.0,60.498
2011-03-26T05:32:20+00:00,0.0,60.568
2011-03-26T05:33:20+00:00,0.0,60.5
2011-03-26T05:34:19+00:00,0.0,60.491
2011-03-26T05:35:20+00:00,0.0,60.623
2011-03-26T05:36:20+00:00,0.0,60.553
2011-03-26T05:37:20+00:00,0.0,60.587
2011-03-26T05:38:20+00:00,0.0,60.54
2011-03-26T05:39:20+00:00,0.0,60.663
2011-03-26T05:40:19+00:00,0.0,60.568
2011-03-26T05:41:20+00:00,0.0,60.556
2011-03-26T05:42:20+00:00,0.0,60.857
2011-03-26T05:43:20+00:00,0.0,60.815
2011-03-26T05:44:20+00:00,0.0,60.546
2011-03-26T05:45:20+00:00,0.0,60.69
2011-03-26T05:46:20+00:00,0.0,60.564
2011-03-26T05:47:20+00:00,0.0,60.698
2011-03-26T05:48:20+00:00,0.0,60.549
2011-03-26T05:49:20+00:00,0.0,60.583
2011-03-26T05:50:20+00:00,0.0,60.689
2011-03-26T05:51:19+00:00,0.0,60.644
2011-03-26T05:52:19+00:00,0.0,60.639
2011-03-26T05:53:20+00:00,0.0,60.534
2011-03-26T05:54:20+00:00,0.0,60.644
2011-03-26T05:55:20+00:00,0.0,60.583
2011-03-26T05:56:20+00:00,0.0,60.646
2011-03-26T05:57:19+00:00,0.0,60.743
2011-03-26T05:58:19+00:00,0.0,60.612
2011-03-26T05:59:20+00:00,0.0,60.73
2011-03-26T06:00:20+00:00,0.0,60.54
2011-03-26T06:01:20+00:00,0.0,60.953
2011-03-26T06:02:20+00:00,0.0,61.147
2011-03-26T06:03:20+00:00,0.0,60.56
2011-03-26T06:04:19+00:00,0.0,60.533
2011-03-26T06:05:20+00:00,0.0,60.51
2011-03-26T06:06:20+00:00,0.0,60.664
2011-03-26T06:07:20+00:00,0.0,60.593
2011-03-26T06:08:19+00:00,0.0,60.532
2011-03-26T06:09:20+00:00,0.0,60.537
2011-03-26T06:10:20+00:00,0.0,60.646
2011-03-26T06:11:20+00:00,0.0,60.586
2011-03-26T06:12:20+00:00,0.0,60.692
2011-03-26T06:13:20+00:00,0.0,60.761
2011-03-26T06:14:19+00:00,0.0,60.688
2011-03-26T06:15:20+00:00,0.0,60.633
2011-03-26T06:16:20+00:00,0.0,60.41
2011-03-26T06:17:20+00:00,0.0,60.878
2011-03-26T06:18:20+00:00,0.0,60.672
2011-03-26T06:19:19+00:00,0.0,60.651
2011-03-26T06:20:19+00:00,0.0,60.594
2011-03-26T06:21:20+00:00,0.0,60.699
2011-03-26T06:22:20+00:00,0.0,60.514
2011-03-26T06:23:20+00:00,0.0,60.646
2011-03-26T06:24:20+00:00,0.0,60.517
2011-03-26T06:25:20+00:00,0.0,60.561
2011-03-26T06:26:19+00:00,0.0,60.605
2011-03-26T06:27:25+00:00,0.0,60.875
2011-03-26T06:28:19+00:00,0.0,60.57
2011-03-26T06:29:20+00:00,0.0,60.543
2011-03-26T06:30:20+00:00,0.0,60.657
2011-03-26T06:31:20+00:00,0.0,60.554
2011-03-26T06:32:24+00:00,0.0,60.555
2011-03-26T06:33:20+00:00,0.0,60.632
2011-03-26T06:34:25+00:00,0.0,60.621
2011-03-26T06:35:20+00:00,0.0,60.575
2011-03-26T06:36:20+00:00,0.0,63.021
2011-03-26T06:37:24+00:00,0.0,60.581
2011-03-26T06:38:20+00:00,0.0,60.753
2011-03-26T06:39:19+00:00,0.0,60.614
2011-03-26T06:40:19+00:00,0.0,61.081
2011-03-26T06:41:20+00:00,0.0,60.473
2011-03-26T06:42:20+00:00,0.0,60.61
2011-03-26T06:43:20+00:00,0.0,60.821
2011-03-26T06:44:20+00:00,0.0,60.464
2011-03-26T06:45:19+00:00,0.0,60.517
2011-03-26T06:46:19+00:00,0.0,60.612
2011-03-26T06:47:20+00:00,0.0,60.486
2011-03-26T06:48:24+00:00,0.0,60.416
2011-03-26T06:49:20+00:00,0.0,60.665
2011-03-26T06:50:20+00:00,0.0,60.518
2011-03-26T06:51:20+00:00,0.0,60.634
2011-03-26T06:52:20+00:00,0.0,60.627
2011-03-26T06:53:20+00:00,0.0,60.708
2011-03-26T06:54:19+00:00,0.0,60.566
2011-03-26T06:55:20+00:00,0.0,60.652
2011-03-26T06:56:20+00:00,0.0,60.496
2011-03-26T06:57:20+00:00,0.0,60.629
2011-03-26T06:58:19+00:00,0.0,60.609
2011-03-26T06:59:20+00:00,0.0,60.672
2011-03-26T07:00:20+00:00,0.0,60.706
2011-03-26T07:01:20+00:00,0.0,60.599
2011-03-26T07:02:20+00:00,0.0,60.676
2011-03-26T07:03:20+00:00,0.0,60.713
2011-03-26T07:04:19+00:00,0.0,60.536
2011-03-26T07:05:20+00:00,0.0,60.653
2011-03-26T07:06:20+00:00,0.0,60.635
2011-03-26T07:07:20+00:00,0.0,60.459
2011-03-26T07:08:20+00:00,0.0,60.46
2011-03-26T07:09:20+00:00,0.0,60.499
